piInstitution,projects,cohort,match_method,ever_used
Brown University,12,R1,xdmod,True
"University of Massachusetts, Lowell",11,R1,xdmod,True
Brigham and Women's Hospital,11,Non-academic,xdmod,True
Towson University,11,RCU,xdmod,True
University of New Mexico,11,R1,xdmod,True
Clemson University,11,R1,xdmod,True
Georgia State University,11,R1,xdmod,True
Harrisburg University,11,Other academic,xdmod,True
Rowan University,11,R2,xdmod,True
University of Kansas,11,R1,xdmod,True
"University of Alabama, Birmingham",11,R1,xdmod,True
CUNY The City College of New York,10,R2,xdmod,True
University of Rhode Island,10,R1,xdmod,True
New Mexico State University,10,R1,xdmod,True
Drexel University,10,R1,xdmod,True
University of Texas Rio Grande Valley,10,R2,xdmod,True
San Diego Supercomputer Center,10,R1,xdmod,True
Morgan State University,10,R2,xdmod,True
Tulane University,10,R1,xdmod,True
Tennessee Technological University,10,R2,xdmod,True
Rochester Institute of Technology,10,R2,xdmod,True
West Virginia University,10,R1,xdmod,True
University of Houston,10,R1,xdmod,True
Dartmouth College,9,R1,xdmod,True
"University of Missouri, Columbia",9,R1,xdmod,True
University of Arkansas,9,R1,xdmod,True
"California State Polytechnic University, Pomona",9,R2,xdmod,True
Prairie View A&M University,9,R2,xdmod,True
"University of Colorado, Anschutz Medical Campus",9,R1,xdmod,True
University of Wisconsin-Milwaukee,9,R1,xdmod,True
"University of Puerto Rico, Mayaguez",9,R2,xdmod,True
University of Georgia,9,R1,xdmod,True
Middle Tennessee State University,9,R2,xdmod,True
University of Pittsburgh School of Medicine,9,R1,xdmod,True
California State University-Northridge,9,RCU,xdmod,True
"University of Missouri, Kansas City",9,R1,xdmod,True
Indiana University Indianapolis,9,R1,xdmod,True
Villanova University,9,R2,xdmod,True
"University of Maryland, Baltimore",9,R1,xdmod,True
California State University-Chico,9,RCU,xdmod,True
Tufts University,8,R1,xdmod,True
"University of California, Merced",8,R1,xdmod,True
"University of California, San Francisco",8,R1,xdmod,True
Massachusetts General Hospital,8,Non-academic,xdmod,True
Louisiana State University,8,R1,xdmod,True
