pi_institution,total_ace,total_cpu_hours,total_node_hours,job_count,active_pi_count,active_allocation_count,active_person_count
CUNY Brooklyn College - CUNY Brooklyn College,2771968.1827,844274.8553,53857.5522,14709.0,4.0,6.0,20.0
CUNY City College - CUNY The City College of New York,4001029.509,1478069.6961,72737.1247,10322.0,8.0,9.0,13.0
CUNY City Tech - CUNY New York City College of Technology,257177.8651,23452.1331,754.0292,178.0,1.0,1.0,2.0
CUNY Graduate School and University Center - CUNY Graduate School and University Center,1614684.6341,471275.7664,19522.7478,4236.0,4.0,5.0,6.0
CUNY Hunter College - CUNY Hunter College,625850.0218,535277.5133,7987.27,5750.0,2.0,2.0,8.0
CUNY Lehman College - CUNY Lehman College,1688158.8371,1290519.2992,41881.3086,2363.0,2.0,3.0,2.0
CUNY Manhattan CC - CUNY Borough of Manhattan Community College,117289.1634,25691.3431,1120.6175,1618.0,2.0,2.0,2.0
CUNY Staten Island - CUNY College of Staten Island,1876754.8818,724053.1044,11447.6264,5951.0,6.0,6.0,17.0
"CUNY York College - York College, City University of New York",121171.2521,197828.7353,3523.6436,668.0,1.0,1.0,1.0
CWRU - Case Western Reserve University,3529118.7223,1404400.2625,31427.1614,5901.0,10.0,14.0,24.0
CWorthy,4118890.0119,4118856.475,35441.1831,7221.0,1.0,2.0,13.0
"Cal Poly - California Polytechnic State University, San Luis Obispo",1010895.0028,215662.4203,16935.7111,22147.0,9.0,12.0,66.0
"Cal Poly Humboldt - California State Polytechnic University, Humboldt",20345.8731,17805.6803,784.8731,3551.0,1.0,1.0,34.0
"Cal Poly Pomona - California State Polytechnic University, Pomona",13984434.5873,4084131.9733,207982.7256,1521420.0,8.0,11.0,188.0
Cal State East Bay - California State University East Bay,32188.159,7393.8911,404.7572,1155.0,2.0,2.0,13.0
Caldwell University,4799.9251,1203.0044,37.3769,44.0,1.0,1.0,1.0
Calif Dept of Water Resources - California Department of Water Resources,179557.8015,89481.2,1864.1917,5679.0,1.0,1.0,1.0
Caltech - California Institute of Technology,211403345.4364,209388737.9239,3358117.3767,459447.0,56.0,73.0,136.0
Calvin U. - Calvin University,18.4665,1.0344,1.0344,6.0,1.0,1.0,1.0
Campbellsville U - Campbellsville University,1495.5393,62.345,62.345,8.0,1.0,1.0,1.0
Capitol Technology University,1286.9175,144.1333,6.0056,2.0,1.0,1.0,1.0
Carbon to Sea Initiative,636117.9113,502290.4764,5885.6864,1108.0,1.0,1.0,3.0
Catholic U - Catholic University of America,19456.9842,17208.6133,150.9964,45.0,1.0,1.0,1.0
Cavendish-Labs - Cavendish Labs,455073.4294,342897.9853,3070.5094,1718.0,2.0,2.0,7.0
Cedar Crest College - Cedar Crest College,971.2396,176.1147,9.3169,105.0,1.0,1.0,1.0
Central Michigan U - Central Michigan University,3218534.6559,13229549.6189,199054.2806,2178.0,3.0,5.0,9.0
Centre College - Centre College,1991741.8429,1976670.08,15559.8256,1514.0,1.0,3.0,14.0
Chapman U - Chapman University,5890811.7787,5855074.9781,113356.9247,3569.0,5.0,5.0,7.0
Chatham U - Chatham University,1155117.3498,1206122.3778,33310.2267,4167.0,1.0,4.0,18.0
Child Mind - Child Mind Institute,13209902.1773,12578979.0108,1110416.5756,2538078.0,7.0,12.0,40.0
Children's Mercy Hosp - Children's Mercy Hospital,87.2169,7.39,7.39,76.0,1.0,1.0,1.0
Cincinnati Children's Hosp - Cincinnati Children's Hospital Medical Center,727095.1401,727095.2653,249742.5833,186581.0,2.0,2.0,6.0
City of Hope - City of Hope,33977.1664,4961.4161,335.1739,171.0,1.0,1.0,1.0
Claflin U - Claflin University,84181.1716,80787.4586,702.4633,871.0,1.0,1.0,4.0
Claremont McKenna College - Claremont McKenna College,3808.7217,175.4497,22.8989,81.0,2.0,2.0,4.0
Clark Atlanta U - Clark Atlanta University,5805345.8107,5217306.7906,82210.37,12392.0,2.0,3.0,12.0
Clark U - Clark University,47045.9792,6802.0147,1634.9753,253.0,1.0,1.0,1.0
Clarkson U - Clarkson University,3252513.8187,3002081.585,86284.8664,250964.0,6.0,9.0,22.0
Clemson U - Clemson University,711635.5356,207981.7406,3863.5842,1192.0,6.0,8.0,11.0
Cleveland State U - Cleveland State University,242679.0193,180147.9967,6563.0972,2843.0,1.0,1.0,1.0
Coastal Carolina U - Coastal Carolina University,1443774.2841,1317131.7756,25558.9875,91346.0,2.0,4.0,97.0
College of Charleston - College of Charleston,5789041.4873,15476335.8647,322357.8217,364.0,1.0,1.0,2.0
College of Wm & Mary - College of William and Mary,10381001.0606,3927230.0228,81526.5097,9227.0,15.0,16.0,26.0
College of Wooster - College of Wooster,116531.5366,116531.5556,910.4028,270.0,1.0,1.0,1.0
College of the Holy Cross - College of the Holy Cross,4575.7065,4575.6089,35.7469,48.0,1.0,1.0,1.0
Colorado Mesa U - Colorado Mesa University,2831040.1148,1961098.3047,88068.4072,18274.0,1.0,1.0,3.0
Colorado Sch of Mines - Colorado School of Mines,25325508.1415,21585342.0508,800724.0553,121276.0,29.0,31.0,50.0
Colorado State U - Colorado State University,44371136.6897,29876479.3814,1454422.0931,462986.0,17.0,22.0,58.0
"Colorado-Boulder - University of Colorado, Boulder",114932912.4711,105861699.2103,1596273.0467,123469.0,52.0,69.0,101.0
Columbia River Inter-Tribal - Columbia River Inter-Tribal Fish Commission,873395.0964,833986.5133,8077.6492,1562.0,1.0,1.0,6.0
Columbia U - Columbia University in the City of New York,558535069.5614,453644369.5528,6068905.4072,1556691.0,86.0,111.0,280.0
Columbus State U - Columbus State University,45941.9802,4983.4619,323.4728,340.0,1.0,2.0,3.0
Conn. College - Connecticut College,369.081,5.5036,5.4828,5.0,1.0,1.0,1.0
