pi_institution,total_ace,total_cpu_hours,total_node_hours,job_count,active_pi_count,active_allocation_count,active_person_count
U Maine - University of Maine,8528896.6249,6179872.7511,162566.7128,26343.0,4.0,5.0,26.0
U Manchester - University of Manchester,284432.0918,85037.7311,824.2622,135.0,1.0,2.0,1.0
U Mary Washington - University of Mary Washington,46937.0516,148104.0178,2625.8922,1396.0,1.0,1.0,9.0
"U Maryland - University of Maryland, College Park",75966500.7174,54421796.1178,1930892.4472,1255126.0,31.0,32.0,89.0
U Maryland School of Medicine - University of Maryland School of Medicine,4899.3699,6159.9128,257.4228,36.0,1.0,1.0,1.0
U Maryland U College - University of Maryland University College,8047.7884,1827.2994,34.7433,162.0,1.0,1.0,1.0
"U Maryland, Baltimore - University of Maryland, Baltimore",655524.7364,457778.7922,20011.9658,20407.0,8.0,8.0,10.0
"U Maryland, Baltimore Co - University of Maryland, Baltimore County",1931085.9068,2357584.5514,38574.4244,2880.0,5.0,5.0,17.0
U Mass Med Sch - University of Massachusetts Chan Medical School,6181011.1673,2451569.41,93166.9642,51572.0,6.0,10.0,13.0
"U Mass, Amherst - University of Massachusetts, Amherst",17286669.0374,14955864.7192,488684.5125,86526.0,13.0,18.0,33.0
"U Mass, Dartmouth - University of Massachusetts, Dartmouth",10052739.5346,9781455.6883,185931.4314,40525.0,4.0,5.0,323.0
"U Mass, Lowell - University of Massachusetts, Lowell",59758539.6469,47442904.4492,889561.0467,197662.0,7.0,15.0,16.0
U Memphis - University of Memphis,18685739.3474,11967695.3092,228669.7703,2174.0,6.0,7.0,10.0
U Miami - University of Miami,24981057.8327,26823915.6972,1407120.5478,458411.0,8.0,17.0,28.0
U Michigan - University of Michigan,729082973.1112,467223575.9222,28406997.9008,11223839.0,133.0,210.0,444.0
U Michigan Medical - University of Michigan Medical School,16522.1786,3926.5983,1042.6531,2354.0,1.0,1.0,3.0
"U Michigan, Dearborn - University of Michigan, Dearborn",68983.2179,2821.8483,540.0375,218.0,1.0,1.0,1.0
U Minn - University of Minnesota,35529049.2233,25874626.0708,476024.7661,313277.0,33.0,38.0,114.0
"U Minn, Duluth - University of Minnesota, Duluth",5395.5955,2808.6167,195.7281,484.0,1.0,2.0,39.0
U Mississippi - University of Mississippi,26099890.6981,26398186.0053,317697.3492,15189.0,5.0,8.0,22.0
"U Missouri, Columbia - University of Missouri, Columbia",15023140.6825,9364188.2289,194548.9958,44949.0,10.0,9.0,21.0
"U Missouri, Kansas City - University of Missouri, Kansas City",12544083.2242,11002508.8664,672693.4414,292827.0,11.0,17.0,25.0
"U Missouri, St Louis - University of Missouri, Saint Louis",748.6431,73.1533,5.63,6.0,2.0,2.0,2.0
U Montana - University of Montana,3865423.5448,3865754.7783,60246.4756,47233.0,5.0,5.0,20.0
"U Nebraska, Lincoln - University of Nebraska, Lincoln",5473452.8667,3934888.7506,73825.8669,4951.0,6.0,9.0,10.0
"U Nebraska, Med Ctr - University of Nebraska Medical Center",40851.2072,36467.7917,564.5167,27.0,1.0,2.0,1.0
"U Nebraska, Omaha - University of Nebraska, Omaha",1826747.8944,95424.0203,13831.9192,1600.0,2.0,2.0,3.0
"U Nevada, Reno - University of Nevada, Reno",2013368.3948,846641.3636,54763.3744,1527877.0,7.0,7.0,8.0
U New Hampshire - University of New Hampshire,31849.1484,9321.1158,488.2331,327.0,3.0,3.0,3.0
U New Haven - University of New Haven,37805.228,37805.3089,752.0739,118.0,1.0,1.0,1.0
U New Mexico - University of New Mexico,2751662.4867,2062522.8642,37193.0828,9486.0,16.0,17.0,54.0
U North Dakota - University of North Dakota,1205850.8953,339808.3192,13126.7283,4656.0,5.0,6.0,26.0
U North Georgia - University of North Georgia,4505772.9116,2898115.7433,48972.9133,14299.0,4.0,10.0,49.0
U North Texas - University of North Texas,5552606.6504,4505907.615,59532.975,9273.0,13.0,14.0,28.0
U Northern Colorado - University of Northern Colorado,143771.5391,70278.8556,3319.7008,5157.0,1.0,1.0,1.0
U Northern Iowa - University of Northern Iowa,1413471.9571,1314165.3881,39573.0681,45945.0,2.0,3.0,3.0
U Notre Dame - University of Notre Dame,18126243.9329,11832553.2325,1276285.2122,549465.0,26.0,31.0,77.0
U Oklahoma - University of Oklahoma,127628344.9997,109560400.7358,2266216.6553,1278392.0,27.0,27.0,91.0
U Oregon - University of Oregon,3677931.2496,2780644.3678,62882.9178,29195.0,5.0,9.0,22.0
U Pacific - University of the Pacific,4745961.0706,4466484.9928,268778.5064,200149.0,6.0,9.0,10.0
U Pennsylvania - University of Pennsylvania,58080747.6449,43123691.7122,1734219.8119,596380.0,57.0,77.0,219.0
U Pittsburgh - University of Pittsburgh,143295118.5975,106720501.1181,3178406.7836,1537778.0,75.0,89.0,251.0
U Pittsburgh Cancer Inst - University of Pittsburgh Cancer Institute,5526.1089,5525.8694,71.2475,151.0,1.0,1.0,2.0
U Pittsburgh Johnstown - University of Pittsburgh at Johnstown,82207.8732,82207.8825,664.2869,253.0,2.0,3.0,2.0
U Pittsburgh Sch of Med - University of Pittsburgh School of Medicine,3790123.4013,2858462.65,187056.9303,756743.0,7.0,11.0,33.0
U Rhode Island - University of Rhode Island,12235499.9064,23186697.5842,338097.6269,5932.0,11.0,16.0,19.0
U Richmond - University of Richmond,54352.8604,8079.2125,1009.4117,24.0,1.0,1.0,1.0
U Rochester - University of Rochester,76017772.0382,58936011.0256,1373630.5283,143544.0,17.0,18.0,37.0
U San Diego - University of San Diego,2050640.0898,1915965.1447,14977.6092,415.0,3.0,5.0,8.0
U San Francisco - University of San Francisco,48302.9509,24124.0644,1507.7553,307.0,1.0,1.0,2.0
U Sciences Philadelphia - University of the Sciences in Philadelphia,432905.1095,40198.3444,1004.9586,34.0,1.0,1.0,1.0
U Scranton - University of Scranton,46602.4081,42152.8425,1230.9381,898.0,1.0,1.0,1.0
U South Alabama - University of South Alabama,1349043.858,944162.0797,11049.2975,1657.0,1.0,1.0,5.0
U South Carolina - University of South Carolina,86968796.1819,77485614.6761,1132699.3742,138910.0,25.0,36.0,76.0
U South Florida - University of South Florida,7306587.1857,3151395.7964,83332.9669,39281.0,14.0,14.0,28.0
U Southern Mississippi - University of Southern Mississippi,433005.9268,269303.7456,3343.0797,3546.0,2.0,2.0,10.0
U Tenn System - University of Tennessee System,1895619.9389,1895619.0494,46696.8642,9780.0,2.0,2.0,3.0
"U Tennessee Martin - University of Tennessee, Martin",24966.9973,24965.3914,195.4264,163.0,1.0,1.0,1.0
U Toledo - University of Toledo,1473568.7816,1409312.3217,12839.6183,38623.0,3.0,4.0,4.0
U Utah - University of Utah,52420749.5165,42832246.1683,475537.71,190003.0,24.0,30.0,43.0
U Vermont - University of Vermont,1529885.5824,573003.5006,19078.9814,4124.0,8.0,9.0,16.0
U Virgin Islands - University of the Virgin Islands,412611.6414,412611.2356,3223.5253,2409.0,1.0,1.0,4.0
U Virginia - University of Virginia,114608564.2273,79087955.1889,1154671.0097,321225.0,30.0,34.0,56.0
U Washington - University of Washington,139906181.2964,131612581.1533,2485099.6647,163455.0,55.0,65.0,220.0
U West Florida - University of West Florida,197051.9683,186229.8119,2077.2981,6214.0,2.0,4.0,42.0
U Wisconsin-Madison - University of Wisconsin-Madison,838738793.3121,720812453.7386,10342207.925,1506626.0,65.0,81.0,170.0
U Wisconsin-Milwaukee - University of Wisconsin-Milwaukee,2725813.8374,1256767.0331,217832.6269,37878.0,7.0,8.0,19.0
U Wisconsin-Parkside - University of Wisconsin-Parkside,97852.7669,68314.3878,1691.8981,190.0,1.0,1.0,1.0
U Wisconsin-Whitewater - University of Wisconsin-Whitewater,89611.3295,78111.9622,788.0822,476.0,2.0,2.0,2.0
U Wyoming - University of Wyoming,29896.1882,25693.8753,1028.7122,1836.0,2.0,2.0,2.0
"UC Berkeley - University of California, Berkeley",203595376.8794,187585167.1236,5428905.6031,1468653.0,111.0,126.0,402.0
UC Berkeley Extension - UC Berkeley Extension,1556527.2943,1555058.3822,12148.8936,158.0,1.0,2.0,2.0
"UC Davis - University of California, Davis",72389660.3656,47352528.8058,2187916.5303,616470.0,62.0,86.0,265.0
"UC Irvine - University of California, Irvine",37548587.56,32404241.2111,607740.3881,144904.0,37.0,44.0,95.0
"UC Merced - University of California, Merced",11513873.3545,4779040.085,324484.0525,113710.0,17.0,24.0,47.0
"UC Riverside - University of California, Riverside",45763020.2758,43679347.2711,745670.5211,267685.0,40.0,47.0,98.0
"UC San Diego - University of California, San Diego",482729657.7453,288219533.0411,11805861.1731,7386987.0,284.0,373.0,2054.0
"UC San Francisco - University of California, San Francisco",3306639.3412,284887.9536,20226.6439,17896.0,7.0,9.0,8.0
"UC Santa Barbara - University of California, Santa Barbara",289578285.4826,307818512.3753,3700133.2378,1720376.0,59.0,86.0,348.0
"UC Santa Cruz - University of California, Santa Cruz",19329610.8304,18674120.2703,210215.8883,46300.0,26.0,32.0,91.0
UCAR - University Corporation for Atmospheric Research,0.7486,2.4811,1.4806,2.0,1.0,1.0,1.0
"UCLA - University of California, Los Angeles",355248437.8314,289217157.0803,5201145.35,1515939.0,112.0,167.0,302.0
UDEL - University of Delaware,161663463.9716,111666318.6217,2665675.5164,357058.0,32.0,50.0,216.0
UIUC - University of Illinois at Urbana-Champaign,1042434391.5403,610405185.2964,12374906.1208,6077958.0,641.0,901.0,3150.0
UKY - University of Kentucky,79078431.9671,63797592.9378,6614322.8367,156605.0,17.0,31.0,265.0
"UNC - University of North Carolina, Chapel Hill",37241507.3929,24269669.8192,371766.6725,36907.0,17.0,21.0,36.0
"UNC Charlotte - University of North Carolina, Charlotte",3783662.8611,3396001.9733,32750.16,3856.0,3.0,4.0,14.0
"UNC Greensboro - University of North Carolina, Greensboro",60.141,103.3422,1.4125,4.0,2.0,2.0,3.0
"UNC Pembroke - University of North Carolina, Pembroke",182107.1807,182107.0025,45863.7308,26371.0,1.0,1.0,2.0
"UNC Wilmington - University of North Carolina, Wilmington",1741177.1165,2018623.12,33003.0617,2426.0,5.0,6.0,23.0
"UNLV - University of Nevada, Las Vegas",18050955.2686,14767332.6481,550017.5731,102498.0,11.0,13.0,51.0
UPMC Shadyside Hosp - UPMC Shadyside Hospital,40015.8463,39854.3617,313.5411,44.0,1.0,1.0,1.0
"UPR Mayaguez - University of Puerto Rico, Mayaguez",1309428.9101,728407.3517,17255.0617,9074.0,7.0,9.0,33.0
"UPR Med Sci - University of Puerto Rico, Medical Sciences Campus",0.1248,0.1789,0.1789,1.0,1.0,1.0,1.0
"UPR Rio Piedras - University of Puerto Rico, Rio Piedras",1998.7523,385.4356,46.7883,88.0,4.0,5.0,7.0
US Army - US Army,49521.9914,14897.2156,1073.2403,208.0,1.0,1.0,1.0
US DoE - US Department of Energy,5683.4487,705.5036,55.2119,315.0,1.0,1.0,1.0
US FDA - US Food and Drug Administration,1582288.8515,689151.6589,11574.5581,2276.0,4.0,3.0,3.0
US Naval Acad - US Naval Academy,2121538.9606,197008.0619,39399.9961,1339.0,2.0,2.0,2.0
USC - University of Southern California,21631682.8249,8818481.9758,475646.2556,915508.0,45.0,58.0,157.0
USDA ARS - USDA Agricultural Research Service,0.4991,0.5047,0.5047,7.0,1.0,1.0,1.0
USDA ARS MWA - USDA Agricultural Research Service Midwest Area,555563.1668,555563.2267,5559.3131,8729.0,1.0,1.0,1.0
USGS - US Geological Survey,84622.2472,103703.4344,5637.7203,58.0,1.0,1.0,1.0
USRA - Universities Space Research Association,13079.0442,10640.8203,186.3378,17.0,2.0,2.0,2.0
UT Anderson Cancer Ctr - University of Texas MD Anderson Cancer Center,31.9421,6.92,0.1442,2.0,1.0,1.0,1.0
UT Arlington - University of Texas at Arlington,64812318.6724,43998117.7203,867694.7172,102668.0,13.0,26.0,943.0
UT Dallas - University of Texas at Dallas,21104959.6357,10740066.8958,227303.7833,76145.0,18.0,27.0,62.0
UT El Paso - University of Texas at El Paso,2358116.9131,3122891.1872,55412.5664,39578.0,7.0,9.0,384.0
UT Hlth Sci Ctr Houston - University of Texas Health Science Center at Houston,1440888.0155,64442.1969,6778.7017,13388.0,2.0,2.0,4.0
UT Hlth Sci Ctr San Antonio - University of Texas Health Science Center at San Antonio,752112.2965,689347.7458,9294.4506,23362.0,2.0,2.0,2.0
UT Med Branch - University of Texas Medical Branch at Galveston,14031884.3346,6415885.2947,116327.3797,9486.0,1.0,2.0,4.0
UT Rio Grande Valley - University of Texas Rio Grande Valley,2080432.8405,1023484.2706,21043.2478,23233.0,11.0,13.0,29.0
UT San Antonio - University of Texas at San Antonio,3349614.1993,2939755.1372,61009.7847,8150.0,8.0,15.0,22.0
UT Southwestern Med Ctr - University of Texas Southwestern Medical Center,11535047.9755,2587629.8439,124797.8919,102380.0,3.0,3.0,6.0
Uniformed Services U - Uniformed Services University of the Health Sciences,26484.7464,9390.3894,436.7247,115.0,1.0,1.0,1.0
Union College - Union College,1314570.7156,161244.745,18298.8472,1992.0,3.0,4.0,7.0
Univ of Mississippi Medical Center - University of Mississippi Medical Center,79605.7146,79606.3158,2200.4744,15744.0,3.0,3.0,4.0
University of Dallas,693155.5306,467735.7014,5814.7456,15509.0,2.0,3.0,18.0
University of Findlay,1108652.692,63716.1253,3944.7775,4454.0,2.0,2.0,6.0
University of Hawaii,393.2872,43.8267,1.8261,1.0,1.0,1.0,1.0
"Ursa Simulation, Inc.",127622.06,127419.6097,997.1411,277.0,1.0,1.0,2.0
Ursinus College - Ursinus College,2017764.3022,373877.2208,5029.2364,1689.0,1.0,3.0,5.0
Utah State U - Utah State University,3185653.503,3108337.77,25115.4975,3331.0,3.0,3.0,5.0
Utah Valley U - Utah Valley University,83649.8846,126702.4569,2130.7472,1161.0,2.0,3.0,26.0
Utica University,1325.5974,148.2267,3.0881,10.0,1.0,1.0,2.0
VAI - Van Andel Institute,2206334.893,2206197.08,23330.4469,2373.0,1.0,1.0,1.0
VCOM - Edward Via College of Osteopathic Medicine,20662.4244,2314.22,96.4258,268.0,1.0,1.0,1.0
VMI - Virginia Military Institute,347513.2572,351870.3006,11653.9242,1493.0,3.0,4.0,5.0
Va Inst of Marine Sci - Virginia Institute of Marine Science,412652.3177,412626.8089,3223.6469,109.0,1.0,1.0,1.0
Vanderbilt U - Vanderbilt University,13169761.8067,17575265.7747,753406.4342,91258.0,18.0,20.0,45.0
Vanderbilt U Med Ctr - Vanderbilt University Medical Center,9472.0819,879.5292,175.9058,35.0,1.0,1.0,1.0
Vanguard USC - Vanguard University of Southern California,0.1248,0.0019,0.0019,9.0,1.0,1.0,1.0
Vassar College - Vassar College,5477749.0798,5477741.4558,81947.5536,4289.0,2.0,3.0,8.0
Villanova U - Villanova University,7092954.3952,3003166.9572,76905.4728,5178.0,11.0,13.0,18.0
Virginia Commonwealth U - Virginia Commonwealth University,12520.6813,12520.8428,183.9153,140.0,1.0,1.0,8.0
Virginia State U - Virginia State University,34411.8785,24653.1333,513.6069,260.0,1.0,1.0,4.0
Virginia Tech - Virginia Polytechnic Institute and State University,17037730.1142,6548696.9619,158195.5314,298549.0,23.0,23.0,44.0
Virginia Union University,37.6817,298.9656,297.5375,84.0,1.0,1.0,3.0
W Kentucky U - Western Kentucky University,61817.7054,19942.1378,193.8833,28.0,1.0,1.0,3.0
W Michigan U - Western Michigan University,658477.6343,101149.0386,3685.4736,1399.0,3.0,3.0,3.0
W Texas A&M U - West Texas A&M University,2915214.1743,5691081.5669,115620.3636,18943.0,5.0,7.0,49.0
W Washington U - Western Washington University,73774.908,73758.5111,578.2461,110.0,2.0,4.0,4.0
WC - Wheaton College (Massachusetts),9662.6115,9662.66,402.6108,79.0,1.0,1.0,1.0
WEMSS Lab - WEMSS Lab,599129.0785,143642.3811,1995.1661,366.0,1.0,1.0,3.0
WHOI - Woods Hole Oceanographic Institution,2303594.9841,881519.5114,13959.2922,3393.0,3.0,5.0,8.0
WHRC - Woodwell Climate Research Center,251.1698,30.26,0.995,5.0,1.0,1.0,1.0
WILMU - Wilmington University,564.1026,232.7289,14.5456,3.0,1.0,1.0,1.0
WPI - Worcester Polytechnic Institute,39164125.6473,26510280.3353,599805.1944,106594.0,10.0,21.0,36.0
WV State U - West Virginia State University,241623.3078,103746.5161,1483.6956,1636.0,2.0,5.0,17.0
Wake Forest Sch of Med - Wake Forest School of Medicine,51806.351,24071.4864,2093.6042,1494.0,1.0,1.0,2.0
Wake Forest U - Wake Forest University,828006.2387,199329.1089,3483.0539,448.0,1.0,1.0,4.0
Warren Wilson College - Warren Wilson College,79176.2431,79114.9425,2472.3422,567.0,1.0,1.0,7.0
Washington State U - Washington State University,15428007.3617,12359202.3014,154246.5308,40264.0,21.0,23.0,39.0
Washington U - Washington University in St. Louis,61794934.057,63892269.5433,1084790.0758,556347.0,21.0,24.0,84.0
Washington U Sch of Med - Washington University School of Medicine,5542070.7468,1945541.6481,62137.7889,2506.0,3.0,4.0,6.0
Washington and Lee U - Washington and Lee University,644547.2581,622256.9486,4983.0522,574.0,3.0,3.0,5.0
Wayne State U - Wayne State University,23002878.6574,20313299.2014,1404805.0892,296644.0,5.0,7.0,19.0
Weill Cornell Med College - Weill Cornell Medical College,14430018.7161,3496086.7228,312586.7897,1067928.0,19.0,21.0,29.0
Wellesley College - Wellesley College,172903.3627,11269.5872,959.4319,240.0,1.0,1.0,22.0
Wesleyan U - Wesleyan University,436929.3156,59457.3681,7917.425,2403.0,1.0,1.0,3.0
West Chester U - West Chester University of Pennsylvania,1676371.9508,571475.8664,7773.8472,4076.0,3.0,4.0,48.0
West Virginia U - West Virginia University,69780245.6797,73370863.9222,1419949.4528,447883.0,10.0,11.0,23.0
Western Illinois U - Western Illinois University,795745.4614,782373.9097,18548.2842,30216.0,2.0,5.0,65.0
Western U Health Sci - Western University of Health Sciences,8889869.6113,3496595.7297,132712.7322,4552.0,1.0,3.0,5.0
Westminster College - Westminster College,76544.2635,76544.5333,598.0042,899.0,1.0,2.0,23.0
Westmont College - Westmont College,767013.6627,963544.3481,24305.0292,13391.0,2.0,2.0,16.0
Wheaton College - Wheaton College,31746.4595,31746.2844,1299.8081,225.0,1.0,1.0,1.0
White Dwarf Research Corporation,3265342.9409,2655399.72,55320.8275,821.0,1.0,2.0,2.0
Whitworth U - Whitworth University,1074862.8112,99811.2478,19961.6292,2264.0,1.0,1.0,5.0
Wichita State U - Wichita State University,77256.0983,6602.2725,1043.5386,552.0,5.0,5.0,9.0
Widener U - Widener University,5.8644,5.8567,0.0711,38.0,1.0,1.0,1.0
William Paterson U - William Paterson University,2348.119,341.2942,32.3889,34.0,1.0,1.0,5.0
Williams College - Williams College,132788.8203,274677.5489,5808.0303,237.0,1.0,1.0,4.0
Winona State U - Winona State University,1401367.8957,1385481.23,22971.1139,12454.0,1.0,4.0,135.0
Winston-Salem State U - Winston-Salem State University,59116.3516,141026.6292,2305.0856,502.0,1.0,2.0,5.0
Wistar Inst - Wistar Institute,17829.6837,1654.8339,331.2075,2373.0,2.0,2.0,2.0
Wofford College - Wofford College,288.1028,67653.1144,2050.7819,1154.0,1.0,2.0,19.0
Wright State U - Wright State University,0.6239,0.2089,0.0522,2.0,1.0,1.0,1.0
Xavier U - Xavier University of Louisiana,739198.5776,473334.7672,4155.1733,786.0,2.0,2.0,11.0
Yale U - Yale University,108194409.5078,107276686.0425,2130594.7456,270183.0,28.0,37.0,75.0
Yeshiva U - Yeshiva University,0.1248,0.0108,0.0097,4.0,1.0,1.0,1.0
Youngstown State U - Youngstown State University,386810.7805,392122.72,5098.1658,18066.0,2.0,3.0,2.0
[C]Worthy - [C]Worthy,1194403.5186,1017685.715,9601.0622,1313.0,2.0,2.0,4.0
afit.edu - Air Force Institute of Technology (AFIT),1166847.3392,1166848.0672,9123.3344,5567.0,1.0,2.0,9.0
atsu - A.T. Still University,375346.3098,34853.6375,6970.7275,221.0,1.0,1.0,1.0
bpc.edu - Brewton-Parker College,3464422.4842,2568406.3069,39429.5553,8490.0,1.0,3.0,1.0
columbiasc - Columbia College SC,576843.2217,576759.9533,8841.3408,1123.0,2.0,3.0,7.0
csuci.edu - California State University-Channel Islands,10.9801,0.0047,0.0047,11.0,1.0,1.0,1.0
franciscan - Franciscan University of Steubenville,1882.2135,1882.1297,637.7325,142.0,1.0,2.0,1.0
harrisburgu - Harrisburg University,0.0,0.0006,0.0006,1.0,1.0,1.0,1.0
jjay.cuny.edu - CUNY John Jay College,103417.5557,102620.0294,11529.8506,4341.0,1.0,2.0,3.0
moravian - Moravian University,147445.2555,49997.3097,2136.9564,2420.0,2.0,4.0,33.0
nm.org - Northwestern Medicine,0.0,0.005,0.005,1.0,1.0,1.0,1.0
"simonsfoundation - Simons Foundation, Flatiron Institute",772939.2975,1787629.6703,60763.7711,3545.0,5.0,5.0,10.0
thewaterinstitute.org - The Water Institute of the Gulf,13665212.8018,13665213.8511,1031125.7397,140649.0,6.0,6.0,13.0
umces.edu - University of Maryland Center for Environmental Science,194975.981,7817.8053,686.525,477.0,3.0,3.0,3.0
up - University of Portland,627251.6065,610794.9933,25004.0839,10184.0,1.0,1.0,12.0
