value,amount,group,dimension,metric
Bridges 2 GPU,488140577.4534,R1,resource,total_ace
Expanse GPU,262946340.6326,R1,resource,total_ace
NCSA DELTA CPU,211075283.6733,R1,resource,total_ace
Purdue Anvil GPU,79281552.3114,R1,resource,total_ace
Bridges 2 EM,35881743.8393,R1,resource,total_ace
Purdue Anvil AI,26781101.3788,R1,resource,total_ace
JHU Rockfish RM,24427728.7417,R1,resource,total_ace
Texas A&M U ACES,14993960.3219,R1,resource,total_ace
Texas A&M U FASTER,14894117.9113,R1,resource,total_ace
IACS Ookami,5771859.2551,R1,resource,total_ace
UD DARWIN,5687933.6203,R1,resource,total_ace
Bridges2 GPU AI,5151144.301,R1,resource,total_ace
PSC Neocortex,1218011.4792,R1,resource,total_ace
UD DARWIN GPU,1017779.3998,R1,resource,total_ace
KyRIC,216091.584,R1,resource,total_ace
PSC Neocortex SDFlex,281.7393,R1,resource,total_ace
Expanse,24695395.0,R1,resource,job_count
Bridges 2 RM,24485958.0,R1,resource,job_count
Purdue Anvil CPU,15687482.0,R1,resource,job_count
NCSA DELTA GPU,7054983.0,R1,resource,job_count
NCSA DELTA CPU,6862666.0,R1,resource,job_count
Bridges 2 GPU,2317937.0,R1,resource,job_count
NCSA DeltaAI,2234361.0,R1,resource,job_count
TACC STAMPEDE3,1882461.0,R1,resource,job_count
Texas A&M U FASTER,1442528.0,R1,resource,job_count
Texas A&M U ACES,1139734.0,R1,resource,job_count
STAMPEDE2 TACC,1083774.0,R1,resource,job_count
Expanse GPU,572764.0,R1,resource,job_count
JHU Rockfish RM,521254.0,R1,resource,job_count
Purdue Anvil GPU,286463.0,R1,resource,job_count
IACS Ookami,81819.0,R1,resource,job_count
Purdue Anvil AI,71536.0,R1,resource,job_count
UD DARWIN,44286.0,R1,resource,job_count
Bridges2 GPU AI,28034.0,R1,resource,job_count
Bridges 2 EM,19406.0,R1,resource,job_count
UD DARWIN GPU,5055.0,R1,resource,job_count
KyRIC,2925.0,R1,resource,job_count
PSC Neocortex,2722.0,R1,resource,job_count
PSC Neocortex SDFlex,727.0,R1,resource,job_count
NCSA DELTA GPU,1570.0,R1,resource,active_pi_count
Bridges 2 RM,1173.0,R1,resource,active_pi_count
Expanse,1043.0,R1,resource,active_pi_count
Bridges 2 GPU,942.0,R1,resource,active_pi_count
Purdue Anvil CPU,845.0,R1,resource,active_pi_count
NCSA DeltaAI,812.0,R1,resource,active_pi_count
NCSA DELTA CPU,787.0,R1,resource,active_pi_count
TACC STAMPEDE3,634.0,R1,resource,active_pi_count
Expanse GPU,445.0,R1,resource,active_pi_count
Purdue Anvil GPU,437.0,R1,resource,active_pi_count
STAMPEDE2 TACC,385.0,R1,resource,active_pi_count
Texas A&M U ACES,355.0,R1,resource,active_pi_count
Purdue Anvil AI,201.0,R1,resource,active_pi_count
Bridges 2 EM,170.0,R1,resource,active_pi_count
Texas A&M U FASTER,93.0,R1,resource,active_pi_count
JHU Rockfish RM,43.0,R1,resource,active_pi_count
IACS Ookami,38.0,R1,resource,active_pi_count
Bridges2 GPU AI,28.0,R1,resource,active_pi_count
UD DARWIN,24.0,R1,resource,active_pi_count
UD DARWIN GPU,12.0,R1,resource,active_pi_count
KyRIC,7.0,R1,resource,active_pi_count
PSC Neocortex,5.0,R1,resource,active_pi_count
PSC Neocortex SDFlex,5.0,R1,resource,active_pi_count
Bridges 2 RM,8373.0,R1,resource,active_person_count
Purdue Anvil CPU,8207.0,R1,resource,active_person_count
NCSA DELTA GPU,5892.0,R1,resource,active_person_count
Bridges 2 GPU,5548.0,R1,resource,active_person_count
Expanse,5212.0,R1,resource,active_person_count
NCSA DELTA CPU,2126.0,R1,resource,active_person_count
NCSA DeltaAI,1676.0,R1,resource,active_person_count
TACC STAMPEDE3,1607.0,R1,resource,active_person_count
Expanse GPU,1594.0,R1,resource,active_person_count
Texas A&M U ACES,1390.0,R1,resource,active_person_count
STAMPEDE2 TACC,1304.0,R1,resource,active_person_count
Purdue Anvil GPU,1112.0,R1,resource,active_person_count
Texas A&M U FASTER,334.0,R1,resource,active_person_count
Purdue Anvil AI,280.0,R1,resource,active_person_count
Bridges 2 EM,232.0,R1,resource,active_person_count
IACS Ookami,95.0,R1,resource,active_person_count
Bridges2 GPU AI,65.0,R1,resource,active_person_count
JHU Rockfish RM,64.0,R1,resource,active_person_count
PSC Neocortex SDFlex,43.0,R1,resource,active_person_count
PSC Neocortex,42.0,R1,resource,active_person_count
UD DARWIN,35.0,R1,resource,active_person_count
UD DARWIN GPU,27.0,R1,resource,active_person_count
KyRIC,8.0,R1,resource,active_person_count
NCSA DELTA GPU,1927.0,R1,resource,active_allocation_count
Bridges 2 RM,1516.0,R1,resource,active_allocation_count
Expanse,1364.0,R1,resource,active_allocation_count
Bridges 2 GPU,1167.0,R1,resource,active_allocation_count
Purdue Anvil CPU,1024.0,R1,resource,active_allocation_count
NCSA DeltaAI,974.0,R1,resource,active_allocation_count
NCSA DELTA CPU,970.0,R1,resource,active_allocation_count
TACC STAMPEDE3,761.0,R1,resource,active_allocation_count
Expanse GPU,541.0,R1,resource,active_allocation_count
Purdue Anvil GPU,469.0,R1,resource,active_allocation_count
STAMPEDE2 TACC,418.0,R1,resource,active_allocation_count
Texas A&M U ACES,376.0,R1,resource,active_allocation_count
Purdue Anvil AI,207.0,R1,resource,active_allocation_count
Bridges 2 EM,183.0,R1,resource,active_allocation_count
Texas A&M U FASTER,103.0,R1,resource,active_allocation_count
JHU Rockfish RM,45.0,R1,resource,active_allocation_count
IACS Ookami,43.0,R1,resource,active_allocation_count
Bridges2 GPU AI,28.0,R1,resource,active_allocation_count
UD DARWIN,24.0,R1,resource,active_allocation_count
UD DARWIN GPU,12.0,R1,resource,active_allocation_count
KyRIC,8.0,R1,resource,active_allocation_count
PSC Neocortex,7.0,R1,resource,active_allocation_count
PSC Neocortex SDFlex,6.0,R1,resource,active_allocation_count
High-performance computing,12866273291.035,R1,resource_type,total_ace
Data-intensive computing,216091.584,R1,resource_type,total_ace
High-performance computing,90521345.0,R1,resource_type,job_count
Data-intensive computing,2925.0,R1,resource_type,job_count
High-performance computing,5726.0,R1,resource_type,active_pi_count
Data-intensive computing,7.0,R1,resource_type,active_pi_count
High-performance computing,32639.0,R1,resource_type,active_person_count
Data-intensive computing,8.0,R1,resource_type,active_person_count
High-performance computing,7512.0,R1,resource_type,active_allocation_count
Data-intensive computing,8.0,R1,resource_type,active_allocation_count
Maximize,7306453597.9787,R1,board_type,total_ace
Research,1866380053.4032,R1,board_type,total_ace
Discover,1864047822.4468,R1,board_type,total_ace
Accelerate,1282474409.8821,R1,board_type,total_ace
Explore,506318057.0216,R1,board_type,total_ace
Startup,12742067.877,R1,board_type,total_ace
XSEDE Rapid Response,11049004.3047,R1,board_type,total_ace
Discretionary,6249690.4361,R1,board_type,total_ace
Educational,4703975.9186,R1,board_type,total_ace
Staff Allocations,3017837.794,R1,board_type,total_ace
Campus Champions,2850691.3719,R1,board_type,total_ace
SDSC Discretionary,202174.1843,R1,board_type,total_ace
Maximize,37135560.0,R1,board_type,job_count
Discover,21286972.0,R1,board_type,job_count
Accelerate,11428956.0,R1,board_type,job_count
Research,11346821.0,R1,board_type,job_count
Explore,8321034.0,R1,board_type,job_count
Startup,395020.0,R1,board_type,job_count
XSEDE Rapid Response,375620.0,R1,board_type,job_count
Educational,121666.0,R1,board_type,job_count
Staff Allocations,85164.0,R1,board_type,job_count
Campus Champions,16437.0,R1,board_type,job_count
Discretionary,10870.0,R1,board_type,job_count
SDSC Discretionary,150.0,R1,board_type,job_count
Explore,3077.0,R1,board_type,active_pi_count
Discover,2367.0,R1,board_type,active_pi_count
Research,701.0,R1,board_type,active_pi_count
Accelerate,485.0,R1,board_type,active_pi_count
Maximize,273.0,R1,board_type,active_pi_count
Startup,249.0,R1,board_type,active_pi_count
Educational,34.0,R1,board_type,active_pi_count
Campus Champions,24.0,R1,board_type,active_pi_count
Discretionary,11.0,R1,board_type,active_pi_count
Staff Allocations,11.0,R1,board_type,active_pi_count
XSEDE Rapid Response,7.0,R1,board_type,active_pi_count
SDSC Discretionary,1.0,R1,board_type,active_pi_count
Explore,13904.0,R1,board_type,active_person_count
Discover,9948.0,R1,board_type,active_person_count
Accelerate,7571.0,R1,board_type,active_person_count
Research,2875.0,R1,board_type,active_person_count
Maximize,2770.0,R1,board_type,active_person_count
Educational,1899.0,R1,board_type,active_person_count
Startup,357.0,R1,board_type,active_person_count
Staff Allocations,143.0,R1,board_type,active_person_count
Campus Champions,59.0,R1,board_type,active_person_count
Discretionary,39.0,R1,board_type,active_person_count
XSEDE Rapid Response,20.0,R1,board_type,active_person_count
SDSC Discretionary,1.0,R1,board_type,active_person_count
Explore,3557.0,R1,board_type,active_allocation_count
Discover,2936.0,R1,board_type,active_allocation_count
Research,698.0,R1,board_type,active_allocation_count
Accelerate,593.0,R1,board_type,active_allocation_count
Maximize,270.0,R1,board_type,active_allocation_count
Startup,248.0,R1,board_type,active_allocation_count
Educational,37.0,R1,board_type,active_allocation_count
Campus Champions,24.0,R1,board_type,active_allocation_count
Staff Allocations,12.0,R1,board_type,active_allocation_count
Discretionary,11.0,R1,board_type,active_allocation_count
XSEDE Rapid Response,6.0,R1,board_type,active_allocation_count
SDSC Discretionary,1.0,R1,board_type,active_allocation_count
Research,7051358874.2903,R1,grant_type,total_ace
None,1821158981.3463,R1,grant_type,total_ace
Dissertation or Thesis,1812414527.6686,R1,grant_type,total_ace
ACCESS Project,1649053489.3006,R1,grant_type,total_ace
Science Gateway,432874410.8803,R1,grant_type,total_ace
Education,60799597.23,R1,grant_type,total_ace
Campus Champions,19499462.4743,R1,grant_type,total_ace
NIP,19083526.608,R1,grant_type,total_ace
ACCESS Staff Project,224496.8495,R1,grant_type,total_ace
NIP Gateway,22015.9711,R1,grant_type,total_ace
Research,36067327.0,R1,grant_type,job_count
None,19124992.0,R1,grant_type,job_count
ACCESS Project,13471762.0,R1,grant_type,job_count
Dissertation or Thesis,12811428.0,R1,grant_type,job_count
Science Gateway,7661989.0,R1,grant_type,job_count
Education,970613.0,R1,grant_type,job_count
NIP,228167.0,R1,grant_type,job_count
Campus Champions,155476.0,R1,grant_type,job_count
NIP Gateway,19378.0,R1,grant_type,job_count
ACCESS Staff Project,13138.0,R1,grant_type,job_count
Research,2857.0,R1,grant_type,active_pi_count
Dissertation or Thesis,1732.0,R1,grant_type,active_pi_count
ACCESS Project,1340.0,R1,grant_type,active_pi_count
Education,234.0,R1,grant_type,active_pi_count
None,148.0,R1,grant_type,active_pi_count
Campus Champions,68.0,R1,grant_type,active_pi_count
Science Gateway,59.0,R1,grant_type,active_pi_count
NIP,50.0,R1,grant_type,active_pi_count
ACCESS Staff Project,3.0,R1,grant_type,active_pi_count
NIP Gateway,1.0,R1,grant_type,active_pi_count
Education,13876.0,R1,grant_type,active_person_count
ACCESS Project,9561.0,R1,grant_type,active_person_count
Research,8319.0,R1,grant_type,active_person_count
Dissertation or Thesis,3404.0,R1,grant_type,active_person_count
None,976.0,R1,grant_type,active_person_count
Campus Champions,367.0,R1,grant_type,active_person_count
Science Gateway,311.0,R1,grant_type,active_person_count
NIP,112.0,R1,grant_type,active_person_count
ACCESS Staff Project,53.0,R1,grant_type,active_person_count
NIP Gateway,2.0,R1,grant_type,active_person_count
Research,3307.0,R1,grant_type,active_allocation_count
Dissertation or Thesis,1942.0,R1,grant_type,active_allocation_count
ACCESS Project,1614.0,R1,grant_type,active_allocation_count
Education,316.0,R1,grant_type,active_allocation_count
None,151.0,R1,grant_type,active_allocation_count
Campus Champions,72.0,R1,grant_type,active_allocation_count
Science Gateway,58.0,R1,grant_type,active_allocation_count
NIP,50.0,R1,grant_type,active_allocation_count
ACCESS Staff Project,3.0,R1,grant_type,active_allocation_count
NIP Gateway,1.0,R1,grant_type,active_allocation_count
Mathematical & Physical Sciences,7066655488.552,R1,nsfdirectorate,total_ace
Biological Sciences,2115286382.5566,R1,nsfdirectorate,total_ace
Engineering,1331716824.7551,R1,nsfdirectorate,total_ace
Computer & Information Science & Engineering,1274874920.2071,R1,nsfdirectorate,total_ace
Geosciences,1031912560.7337,R1,nsfdirectorate,total_ace
Other,27387455.3622,R1,nsfdirectorate,total_ace
"Social, Behavioral & Economic Sciences",18655750.4523,R1,nsfdirectorate,total_ace
Mathematical & Physical Sciences,33962753.0,R1,nsfdirectorate,job_count
Biological Sciences,32588493.0,R1,nsfdirectorate,job_count
Computer & Information Science & Engineering,12267275.0,R1,nsfdirectorate,job_count
Engineering,6961594.0,R1,nsfdirectorate,job_count
Geosciences,3879267.0,R1,nsfdirectorate,job_count
Other,566106.0,R1,nsfdirectorate,job_count
"Social, Behavioral & Economic Sciences",298782.0,R1,nsfdirectorate,job_count
Computer & Information Science & Engineering,1964.0,R1,nsfdirectorate,active_pi_count
Mathematical & Physical Sciences,1734.0,R1,nsfdirectorate,active_pi_count
Biological Sciences,931.0,R1,nsfdirectorate,active_pi_count
Engineering,859.0,R1,nsfdirectorate,active_pi_count
Geosciences,324.0,R1,nsfdirectorate,active_pi_count
Other,118.0,R1,nsfdirectorate,active_pi_count
"Social, Behavioral & Economic Sciences",88.0,R1,nsfdirectorate,active_pi_count
Computer & Information Science & Engineering,16628.0,R1,nsfdirectorate,active_person_count
Other,6063.0,R1,nsfdirectorate,active_person_count
Mathematical & Physical Sciences,5740.0,R1,nsfdirectorate,active_person_count
Biological Sciences,3446.0,R1,nsfdirectorate,active_person_count
Engineering,2351.0,R1,nsfdirectorate,active_person_count
Geosciences,1018.0,R1,nsfdirectorate,active_person_count
"Social, Behavioral & Economic Sciences",245.0,R1,nsfdirectorate,active_person_count
Computer & Information Science & Engineering,2449.0,R1,nsfdirectorate,active_allocation_count
Mathematical & Physical Sciences,2235.0,R1,nsfdirectorate,active_allocation_count
Biological Sciences,1120.0,R1,nsfdirectorate,active_allocation_count
Engineering,1102.0,R1,nsfdirectorate,active_allocation_count
Geosciences,374.0,R1,nsfdirectorate,active_allocation_count
Other,182.0,R1,nsfdirectorate,active_allocation_count
"Social, Behavioral & Economic Sciences",91.0,R1,nsfdirectorate,active_allocation_count
Physical Sciences,4061133788.8827,R1,parentscience,total_ace
Engineering and Technology,3076567730.4885,R1,parentscience,total_ace
Biological Sciences,2029337396.968,R1,parentscience,total_ace
Computer and Information Sciences,1274874920.2071,R1,parentscience,total_ace
Chemical Sciences,1178770762.2434,R1,parentscience,total_ace
Earth and Environmental Sciences,1031912560.7337,R1,parentscience,total_ace
Mathematics,73711972.0507,R1,parentscience,total_ace
Medical and Health Sciences,73579595.2336,R1,parentscience,total_ace
Other,23250333.8948,R1,parentscience,total_ace
Social Sciences,18655750.4523,R1,parentscience,total_ace
Agricultural Sciences,12369390.355,R1,parentscience,total_ace
Other Natural Sciences,8188059.6419,R1,parentscience,total_ace
Humanities,4137121.4673,R1,parentscience,total_ace
Biological Sciences,30162211.0,R1,parentscience,job_count
Engineering and Technology,16574969.0,R1,parentscience,job_count
Computer and Information Sciences,12267275.0,R1,parentscience,job_count
Physical Sciences,11718356.0,R1,parentscience,job_count
Chemical Sciences,10764668.0,R1,parentscience,job_count
Earth and Environmental Sciences,3879267.0,R1,parentscience,job_count
Mathematics,1707985.0,R1,parentscience,job_count
Agricultural Sciences,1637742.0,R1,parentscience,job_count
Medical and Health Sciences,788540.0,R1,parentscience,job_count
Social Sciences,298782.0,R1,parentscience,job_count
Humanities,293466.0,R1,parentscience,job_count
Other,272640.0,R1,parentscience,job_count
Other Natural Sciences,158369.0,R1,parentscience,job_count
Computer and Information Sciences,1964.0,R1,parentscience,active_pi_count
Engineering and Technology,1149.0,R1,parentscience,active_pi_count
Physical Sciences,891.0,R1,parentscience,active_pi_count
Biological Sciences,787.0,R1,parentscience,active_pi_count
Chemical Sciences,422.0,R1,parentscience,active_pi_count
Earth and Environmental Sciences,324.0,R1,parentscience,active_pi_count
Mathematics,140.0,R1,parentscience,active_pi_count
Medical and Health Sciences,114.0,R1,parentscience,active_pi_count
Other,107.0,R1,parentscience,active_pi_count
Social Sciences,88.0,R1,parentscience,active_pi_count
Agricultural Sciences,42.0,R1,parentscience,active_pi_count
Humanities,11.0,R1,parentscience,active_pi_count
Other Natural Sciences,7.0,R1,parentscience,active_pi_count
Computer and Information Sciences,16628.0,R1,parentscience,active_person_count
Other,6040.0,R1,parentscience,active_person_count
Engineering and Technology,3692.0,R1,parentscience,active_person_count
Biological Sciences,3094.0,R1,parentscience,active_person_count
Physical Sciences,2415.0,R1,parentscience,active_person_count
Chemical Sciences,1620.0,R1,parentscience,active_person_count
Earth and Environmental Sciences,1018.0,R1,parentscience,active_person_count
Mathematics,441.0,R1,parentscience,active_person_count
Medical and Health Sciences,327.0,R1,parentscience,active_person_count
Social Sciences,245.0,R1,parentscience,active_person_count
Agricultural Sciences,75.0,R1,parentscience,active_person_count
Humanities,29.0,R1,parentscience,active_person_count
Other Natural Sciences,13.0,R1,parentscience,active_person_count
Computer and Information Sciences,2449.0,R1,parentscience,active_allocation_count
Engineering and Technology,1539.0,R1,parentscience,active_allocation_count
Physical Sciences,1080.0,R1,parentscience,active_allocation_count
Biological Sciences,951.0,R1,parentscience,active_allocation_count
Chemical Sciences,566.0,R1,parentscience,active_allocation_count
Earth and Environmental Sciences,374.0,R1,parentscience,active_allocation_count
Other,169.0,R1,parentscience,active_allocation_count
Mathematics,151.0,R1,parentscience,active_allocation_count
Medical and Health Sciences,127.0,R1,parentscience,active_allocation_count
Social Sciences,91.0,R1,parentscience,active_allocation_count
Agricultural Sciences,44.0,R1,parentscience,active_allocation_count
Humanities,13.0,R1,parentscience,active_allocation_count
Other Natural Sciences,8.0,R1,parentscience,active_allocation_count
1,603867217.2937,R1,jobsize,total_ace
2 - 4,520714412.3776,R1,jobsize,total_ace
5 - 8,628905566.5357,R1,jobsize,total_ace
9 - 64,3204044788.5707,R1,jobsize,total_ace
65 - 256,3199126042.4231,R1,jobsize,total_ace
257 - 512,1087655289.5377,R1,jobsize,total_ace
513 - 1024,1149678417.7428,R1,jobsize,total_ace
1k - 8k,2231825337.2013,R1,jobsize,total_ace
8k - 32k,199083651.0075,R1,jobsize,total_ace
32k - 131k,38295299.0205,R1,jobsize,total_ace
> 131k,2751892.1954,R1,jobsize,total_ace
1,31014934.0,R1,jobsize,job_count
2 - 4,16628623.0,R1,jobsize,job_count
5 - 8,10470785.0,R1,jobsize,job_count
9 - 64,24517649.0,R1,jobsize,job_count
65 - 256,6835850.0,R1,jobsize,job_count
257 - 512,515717.0,R1,jobsize,job_count
513 - 1024,303286.0,R1,jobsize,job_count
1k - 8k,233685.0,R1,jobsize,job_count
8k - 32k,3033.0,R1,jobsize,job_count
32k - 131k,365.0,R1,jobsize,job_count
> 131k,27.0,R1,jobsize,job_count
1,3887.0,R1,jobsize,active_pi_count
2 - 4,3505.0,R1,jobsize,active_pi_count
5 - 8,3671.0,R1,jobsize,active_pi_count
9 - 64,4811.0,R1,jobsize,active_pi_count
65 - 256,3514.0,R1,jobsize,active_pi_count
257 - 512,1547.0,R1,jobsize,active_pi_count
513 - 1024,1103.0,R1,jobsize,active_pi_count
1k - 8k,842.0,R1,jobsize,active_pi_count
8k - 32k,96.0,R1,jobsize,active_pi_count
32k - 131k,13.0,R1,jobsize,active_pi_count
> 131k,4.0,R1,jobsize,active_pi_count
1,20620.0,R1,jobsize,active_person_count
2 - 4,15885.0,R1,jobsize,active_person_count
5 - 8,16477.0,R1,jobsize,active_person_count
9 - 64,19438.0,R1,jobsize,active_person_count
65 - 256,13872.0,R1,jobsize,active_person_count
257 - 512,3490.0,R1,jobsize,active_person_count
513 - 1024,2117.0,R1,jobsize,active_person_count
1k - 8k,1583.0,R1,jobsize,active_person_count
8k - 32k,134.0,R1,jobsize,active_person_count
32k - 131k,14.0,R1,jobsize,active_person_count
> 131k,4.0,R1,jobsize,active_person_count
1,4955.0,R1,jobsize,active_allocation_count
2 - 4,4429.0,R1,jobsize,active_allocation_count
5 - 8,4644.0,R1,jobsize,active_allocation_count
9 - 64,6276.0,R1,jobsize,active_allocation_count
65 - 256,4637.0,R1,jobsize,active_allocation_count
257 - 512,1992.0,R1,jobsize,active_allocation_count
513 - 1024,1373.0,R1,jobsize,active_allocation_count
1k - 8k,1024.0,R1,jobsize,active_allocation_count
8k - 32k,98.0,R1,jobsize,active_allocation_count
32k - 131k,13.0,R1,jobsize,active_allocation_count
> 131k,4.0,R1,jobsize,active_allocation_count
0 - 1s,0.0,R1,jobwalltime,total_ace
1 - 30s,35546691.2471,R1,jobwalltime,total_ace
30s - 30min,279480950.9015,R1,jobwalltime,total_ace
30 - 60min,250096051.1573,R1,jobwalltime,total_ace
1 - 5hr,1352328562.8548,R1,jobwalltime,total_ace
5 - 10hr,1142683499.2826,R1,jobwalltime,total_ace
10 - 18hr,1545238249.1734,R1,jobwalltime,total_ace
18+hr,8261115378.0024,R1,jobwalltime,total_ace
0 - 1s,36240.0,R1,jobwalltime,job_count
1 - 30s,20658531.0,R1,jobwalltime,job_count
30s - 30min,45136633.0,R1,jobwalltime,job_count
30 - 60min,6447813.0,R1,jobwalltime,job_count
1 - 5hr,11197717.0,R1,jobwalltime,job_count
5 - 10hr,2734992.0,R1,jobwalltime,job_count
10 - 18hr,1734791.0,R1,jobwalltime,job_count
18+hr,2577553.0,R1,jobwalltime,job_count
0 - 1s,466.0,R1,jobwalltime,active_pi_count
1 - 30s,5323.0,R1,jobwalltime,active_pi_count
30s - 30min,5558.0,R1,jobwalltime,active_pi_count
30 - 60min,5056.0,R1,jobwalltime,active_pi_count
1 - 5hr,5224.0,R1,jobwalltime,active_pi_count
5 - 10hr,4583.0,R1,jobwalltime,active_pi_count
10 - 18hr,4237.0,R1,jobwalltime,active_pi_count
18+hr,4196.0,R1,jobwalltime,active_pi_count
0 - 1s,1652.0,R1,jobwalltime,active_person_count
1 - 30s,22917.0,R1,jobwalltime,active_person_count
30s - 30min,28320.0,R1,jobwalltime,active_person_count
30 - 60min,22376.0,R1,jobwalltime,active_person_count
1 - 5hr,25078.0,R1,jobwalltime,active_person_count
5 - 10hr,13319.0,R1,jobwalltime,active_person_count
10 - 18hr,10064.0,R1,jobwalltime,active_person_count
18+hr,9612.0,R1,jobwalltime,active_person_count
0 - 1s,523.0,R1,jobwalltime,active_allocation_count
1 - 30s,6981.0,R1,jobwalltime,active_allocation_count
30s - 30min,7279.0,R1,jobwalltime,active_allocation_count
30 - 60min,6639.0,R1,jobwalltime,active_allocation_count
1 - 5hr,6864.0,R1,jobwalltime,active_allocation_count
5 - 10hr,6016.0,R1,jobwalltime,active_allocation_count
10 - 18hr,5586.0,R1,jobwalltime,active_allocation_count
18+hr,5550.0,R1,jobwalltime,active_allocation_count
0 - 1s,774017325.0983,R1,jobwaittime,total_ace
1 - 30s,3172903888.9513,R1,jobwaittime,total_ace
30s - 30min,2313015267.7023,R1,jobwaittime,total_ace
30 - 60min,486298836.8582,R1,jobwaittime,total_ace
1 - 5hr,1648764280.7412,R1,jobwaittime,total_ace
5 - 10hr,902845916.152,R1,jobwaittime,total_ace
10 - 18hr,844083820.3257,R1,jobwaittime,total_ace
18+hr,2724560046.7902,R1,jobwaittime,total_ace
0 - 1s,4843017.0,R1,jobwaittime,job_count
1 - 30s,26469100.0,R1,jobwaittime,job_count
30s - 30min,27582700.0,R1,jobwaittime,job_count
30 - 60min,4769511.0,R1,jobwaittime,job_count
1 - 5hr,11195810.0,R1,jobwaittime,job_count
5 - 10hr,4228796.0,R1,jobwaittime,job_count
10 - 18hr,3203925.0,R1,jobwaittime,job_count
18+hr,8231411.0,R1,jobwaittime,job_count
0 - 1s,4862.0,R1,jobwaittime,active_pi_count
1 - 30s,5556.0,R1,jobwaittime,active_pi_count
30s - 30min,5398.0,R1,jobwaittime,active_pi_count
30 - 60min,4546.0,R1,jobwaittime,active_pi_count
1 - 5hr,4687.0,R1,jobwaittime,active_pi_count
5 - 10hr,3931.0,R1,jobwaittime,active_pi_count
10 - 18hr,3564.0,R1,jobwaittime,active_pi_count
18+hr,3527.0,R1,jobwaittime,active_pi_count
0 - 1s,22924.0,R1,jobwaittime,active_person_count
1 - 30s,31162.0,R1,jobwaittime,active_person_count
30s - 30min,26700.0,R1,jobwaittime,active_person_count
30 - 60min,13192.0,R1,jobwaittime,active_person_count
1 - 5hr,13850.0,R1,jobwaittime,active_person_count
5 - 10hr,9526.0,R1,jobwaittime,active_person_count
10 - 18hr,8032.0,R1,jobwaittime,active_person_count
18+hr,7919.0,R1,jobwaittime,active_person_count
0 - 1s,6395.0,R1,jobwaittime,active_allocation_count
1 - 30s,7302.0,R1,jobwaittime,active_allocation_count
30s - 30min,7073.0,R1,jobwaittime,active_allocation_count
30 - 60min,5933.0,R1,jobwaittime,active_allocation_count
1 - 5hr,6149.0,R1,jobwaittime,active_allocation_count
5 - 10hr,5138.0,R1,jobwaittime,active_allocation_count
10 - 18hr,4598.0,R1,jobwaittime,active_allocation_count
18+hr,4529.0,R1,jobwaittime,active_allocation_count
uscms; Fermilab,367738589.3069,R1,gateway,total_ace
Neuroscience Gateway; UC San Diego,50280312.4337,R1,gateway,total_ace
Seq2Fun; U Michigan,44168759.9975,R1,gateway,total_ace
National Deep Inference Fabric; Northeastern U,20764544.2635,R1,gateway,total_ace
Gridchem Chemistry; UIUC,19944894.7533,R1,gateway,total_ace
Cipres; UC San Diego,18383139.5595,R1,gateway,total_ace
Galaxy; Penn State U,16264063.7594,R1,gateway,total_ace
COSMIC2; U Michigan,12709147.2955,R1,gateway,total_ace
Open Science Grid; USC,5339534.344,R1,gateway,total_ace
lddmmproc; Johns Hopkins U,2602050.4086,R1,gateway,total_ace
MiGA Gateway; Georgia Tech,1635438.5177,R1,gateway,total_ace
TAS; SUNY Buffalo,1137970.6781,R1,gateway,total_ace
Ultrascan3; UT Hlth Sci Ctr Houston,1120348.8677,R1,gateway,total_ace
dREG; Cornell U,485562.0438,R1,gateway,total_ace
CyberGIS ; UIUC,361789.7561,R1,gateway,total_ace
Quakeworx; USC,342052.9041,R1,gateway,total_ace
SimVascular; Stanford U,318444.694,R1,gateway,total_ace
Genepattern; UC San Diego,292982.8436,R1,gateway,total_ace
SciGaP; Georgia Tech,58761.9939,R1,gateway,total_ace
NAIRR Sandbox; SDSC,26565.2255,R1,gateway,total_ace
OpenTopography; UC San Diego,21415.185,R1,gateway,total_ace
OpenGHM; Purdue U,9173.2485,R1,gateway,total_ace
Harvest; UC San Diego,6519.3088,R1,gateway,total_ace
ampgatewayuser; Georgia Tech,2643.4587,R1,gateway,total_ace
OneSciencePlace 3; SDSC,1682.3258,R1,gateway,total_ace
Gkeyll; Indiana U,1682.201,R1,gateway,total_ace
SnowVisionGateway; U South Carolina,1008.7966,R1,gateway,total_ace
waterhub; Purdue U,111.5478,R1,gateway,total_ace
Space Use Ecology Gateway; UC San Diego,17.9674,R1,gateway,total_ace
GeoABM-COVID; UC San Diego,14.9729,R1,gateway,total_ace
ED2 model leveraging singularity; NCSA,13.6003,R1,gateway,total_ace
OneSciencePlace 2; SDSC,5.9891,R1,gateway,total_ace
GTAP; Purdue U,2.1212,R1,gateway,total_ace
PermafrostGateway; U Connecticut,0.3743,R1,gateway,total_ace
Seq2Fun; U Michigan,4018431.0,R1,gateway,job_count
Galaxy; Penn State U,517005.0,R1,gateway,job_count
Cipres; UC San Diego,516288.0,R1,gateway,job_count
uscms; Fermilab,148326.0,R1,gateway,job_count
Gridchem Chemistry; UIUC,81826.0,R1,gateway,job_count
COSMIC2; U Michigan,44829.0,R1,gateway,job_count
TAS; SUNY Buffalo,38380.0,R1,gateway,job_count
lddmmproc; Johns Hopkins U,37820.0,R1,gateway,job_count
Neuroscience Gateway; UC San Diego,35521.0,R1,gateway,job_count
