value,amount,group,dimension,metric
Mathematics,34.0,nonR1,parentscience,active_person_count
Medical and Health Sciences,32.0,nonR1,parentscience,active_person_count
Social Sciences,16.0,nonR1,parentscience,active_person_count
Other Natural Sciences,2.0,nonR1,parentscience,active_person_count
Computer and Information Sciences,222.0,nonR1,parentscience,active_allocation_count
Biological Sciences,188.0,nonR1,parentscience,active_allocation_count
Chemical Sciences,187.0,nonR1,parentscience,active_allocation_count
Engineering and Technology,174.0,nonR1,parentscience,active_allocation_count
Physical Sciences,133.0,nonR1,parentscience,active_allocation_count
Earth and Environmental Sciences,32.0,nonR1,parentscience,active_allocation_count
Other,32.0,nonR1,parentscience,active_allocation_count
Mathematics,29.0,nonR1,parentscience,active_allocation_count
Medical and Health Sciences,14.0,nonR1,parentscience,active_allocation_count
Social Sciences,10.0,nonR1,parentscience,active_allocation_count
Agricultural Sciences,5.0,nonR1,parentscience,active_allocation_count
Other Natural Sciences,2.0,nonR1,parentscience,active_allocation_count
1,35087701.541,nonR1,jobsize,total_ace
2 - 4,21504699.607,nonR1,jobsize,total_ace
5 - 8,39171745.8357,nonR1,jobsize,total_ace
9 - 64,165044273.5043,nonR1,jobsize,total_ace
65 - 256,164931298.6462,nonR1,jobsize,total_ace
257 - 512,38997554.9317,nonR1,jobsize,total_ace
513 - 1024,45479470.4598,nonR1,jobsize,total_ace
1k - 8k,69175174.2467,nonR1,jobsize,total_ace
8k - 32k,14721787.7597,nonR1,jobsize,total_ace
1,2484412.0,nonR1,jobsize,job_count
2 - 4,1413842.0,nonR1,jobsize,job_count
5 - 8,664596.0,nonR1,jobsize,job_count
9 - 64,1690064.0,nonR1,jobsize,job_count
65 - 256,303614.0,nonR1,jobsize,job_count
257 - 512,17395.0,nonR1,jobsize,job_count
513 - 1024,12232.0,nonR1,jobsize,job_count
1k - 8k,7672.0,nonR1,jobsize,job_count
8k - 32k,157.0,nonR1,jobsize,job_count
1,502.0,nonR1,jobsize,active_pi_count
2 - 4,425.0,nonR1,jobsize,active_pi_count
5 - 8,408.0,nonR1,jobsize,active_pi_count
9 - 64,575.0,nonR1,jobsize,active_pi_count
65 - 256,488.0,nonR1,jobsize,active_pi_count
257 - 512,173.0,nonR1,jobsize,active_pi_count
513 - 1024,116.0,nonR1,jobsize,active_pi_count
1k - 8k,86.0,nonR1,jobsize,active_pi_count
8k - 32k,7.0,nonR1,jobsize,active_pi_count
1,2413.0,nonR1,jobsize,active_person_count
2 - 4,1632.0,nonR1,jobsize,active_person_count
5 - 8,1628.0,nonR1,jobsize,active_person_count
9 - 64,2940.0,nonR1,jobsize,active_person_count
65 - 256,2112.0,nonR1,jobsize,active_person_count
257 - 512,421.0,nonR1,jobsize,active_person_count
513 - 1024,228.0,nonR1,jobsize,active_person_count
1k - 8k,145.0,nonR1,jobsize,active_person_count
8k - 32k,7.0,nonR1,jobsize,active_person_count
1,636.0,nonR1,jobsize,active_allocation_count
2 - 4,531.0,nonR1,jobsize,active_allocation_count
5 - 8,519.0,nonR1,jobsize,active_allocation_count
9 - 64,760.0,nonR1,jobsize,active_allocation_count
65 - 256,648.0,nonR1,jobsize,active_allocation_count
257 - 512,212.0,nonR1,jobsize,active_allocation_count
513 - 1024,146.0,nonR1,jobsize,active_allocation_count
1k - 8k,105.0,nonR1,jobsize,active_allocation_count
8k - 32k,7.0,nonR1,jobsize,active_allocation_count
0 - 1s,0.0,nonR1,jobwalltime,total_ace
1 - 30s,1579940.982,nonR1,jobwalltime,total_ace
30s - 30min,10904917.9612,nonR1,jobwalltime,total_ace
30 - 60min,8917574.5212,nonR1,jobwalltime,total_ace
1 - 5hr,60563882.3383,nonR1,jobwalltime,total_ace
5 - 10hr,52105376.5051,nonR1,jobwalltime,total_ace
10 - 18hr,63830696.4876,nonR1,jobwalltime,total_ace
18+hr,396211317.7366,nonR1,jobwalltime,total_ace
0 - 1s,4273.0,nonR1,jobwalltime,job_count
1 - 30s,2216096.0,nonR1,jobwalltime,job_count
30s - 30min,2840737.0,nonR1,jobwalltime,job_count
30 - 60min,423162.0,nonR1,jobwalltime,job_count
1 - 5hr,736890.0,nonR1,jobwalltime,job_count
5 - 10hr,136124.0,nonR1,jobwalltime,job_count
10 - 18hr,85833.0,nonR1,jobwalltime,job_count
18+hr,150869.0,nonR1,jobwalltime,job_count
0 - 1s,55.0,nonR1,jobwalltime,active_pi_count
1 - 30s,684.0,nonR1,jobwalltime,active_pi_count
30s - 30min,715.0,nonR1,jobwalltime,active_pi_count
30 - 60min,630.0,nonR1,jobwalltime,active_pi_count
1 - 5hr,668.0,nonR1,jobwalltime,active_pi_count
5 - 10hr,553.0,nonR1,jobwalltime,active_pi_count
10 - 18hr,497.0,nonR1,jobwalltime,active_pi_count
18+hr,514.0,nonR1,jobwalltime,active_pi_count
0 - 1s,107.0,nonR1,jobwalltime,active_person_count
1 - 30s,3883.0,nonR1,jobwalltime,active_person_count
30s - 30min,4138.0,nonR1,jobwalltime,active_person_count
30 - 60min,2926.0,nonR1,jobwalltime,active_person_count
1 - 5hr,2868.0,nonR1,jobwalltime,active_person_count
5 - 10hr,1573.0,nonR1,jobwalltime,active_person_count
10 - 18hr,1276.0,nonR1,jobwalltime,active_person_count
18+hr,1238.0,nonR1,jobwalltime,active_person_count
0 - 1s,72.0,nonR1,jobwalltime,active_allocation_count
1 - 30s,924.0,nonR1,jobwalltime,active_allocation_count
30s - 30min,965.0,nonR1,jobwalltime,active_allocation_count
30 - 60min,849.0,nonR1,jobwalltime,active_allocation_count
1 - 5hr,899.0,nonR1,jobwalltime,active_allocation_count
5 - 10hr,726.0,nonR1,jobwalltime,active_allocation_count
10 - 18hr,670.0,nonR1,jobwalltime,active_allocation_count
18+hr,693.0,nonR1,jobwalltime,active_allocation_count
0 - 1s,44882031.443,nonR1,jobwaittime,total_ace
1 - 30s,166618670.5347,nonR1,jobwaittime,total_ace
30s - 30min,119252188.2837,nonR1,jobwaittime,total_ace
30 - 60min,24696001.2477,nonR1,jobwaittime,total_ace
1 - 5hr,80877413.6877,nonR1,jobwaittime,total_ace
5 - 10hr,38843434.7745,nonR1,jobwaittime,total_ace
10 - 18hr,33704094.329,nonR1,jobwaittime,total_ace
18+hr,85239872.2316,nonR1,jobwaittime,total_ace
0 - 1s,242079.0,nonR1,jobwaittime,job_count
1 - 30s,2577389.0,nonR1,jobwaittime,job_count
30s - 30min,2381977.0,nonR1,jobwaittime,job_count
30 - 60min,310494.0,nonR1,jobwaittime,job_count
1 - 5hr,616210.0,nonR1,jobwaittime,job_count
